,prompt,class,environment,weather,amount
900,"

A small boat in a shipyard, surrounded by tall cranes and rusted machinery, under a cloudy sky. Raindrops patter against the hull as workers in yellow raincoats scurry around, securing ro",small boat,shipyard,cloudy,Single
901,Two small boats in a shipyard under cloudy weather.,small boat,shipyard,cloudy,Two
902,Three small boats in a shipyard under cloudy weather.,small boat,shipyard,cloudy,Three
903,"

A small boat resting in the shipyard, surrounded by other boats, under a cloudy sky.",small boat,shipyard,cloudy,Multiple
904,A small boat in the shipyard during rain.,small boat,shipyard,rainy,Single
905,Two small boats in a shipyard during rainy weather.,small boat,shipyard,rainy,Two
906,Three small boats in a shipyard during rainy weather.,small boat,shipyard,rainy,Three
907,"

A small boat in the shipyard, surrounded by puddles, under a grey and drizzly sky.",small boat,shipyard,rainy,Multiple
908,A small boat in the shipyard during a storm.,small boat,shipyard,stormy,Single
909,Two small boats in a shipyard during a storm.,small boat,shipyard,stormy,Two
910,Three small boats in a shipyard during a storm.,small boat,shipyard,stormy,Three
911,Multiple small boats in a shipyard during a storm.,small boat,shipyard,stormy,Multiple
912,"A small boat in a shipyard, covered in snow.",small boat,shipyard,snowy,Single
913,Two small boats in a shipyard during a snowstorm.,small boat,shipyard,snowy,Two
914,Three small boats in a shipyard during a snowstorm.,small boat,shipyard,snowy,Three
915,"

A small boat in a shipyard, covered in fresh snow.",small boat,shipyard,snowy,Multiple
916,"A small boat in a shipyard, shrouded in fog.",small boat,shipyard,foggy,Single
917,Two small boats in a shipyard shrouded in fog.,small boat,shipyard,foggy,Two
918,Three small boats in a shipyard shrouded in fog.,small boat,shipyard,foggy,Three
919,"

A small boat resting in the shipyard, surrounded by other vessels, as the fog rolls in, obscuring the harbor and the surrounding landscape.",small boat,shipyard,foggy,Multiple
920,A small boat in the shipyard during a windy day.,small boat,shipyard,windy,Single
921,Two small boats in a shipyard during windy weather.,small boat,shipyard,windy,Two
922,Three small boats in a shipyard during a windy day.,small boat,shipyard,windy,Three
923,Multiple small boats in a shipyard during a windy day.,small boat,shipyard,windy,Multiple
924,Clear day in a shipyard. A small boat rests on the slipway.,small boat,shipyard,clear,Single
925,Two small boats in a shipyard with clear weather.,small boat,shipyard,clear,Two
926,Three small boats in a shipyard with clear weather.,small boat,shipyard,clear,Three
927,Clear sky. A small boat in a shipyard.,small boat,shipyard,clear,Multiple
928,A small boat beached on a sunny day.,small boat,beach,sunny,Single
929,Two small boats on a sunny beach.,small boat,beach,sunny,Two
930,Three small boats on a sunny beach.,small boat,beach,sunny,Three
931,"

A small boat beached on a sunny shore, waves gently lapping at its hull.",small boat,beach,sunny,Multiple
932,"

A small boat beached on a cloudy day, waves gently lapping at its hull. Overhead, gray clouds obscure the sun.",small boat,beach,cloudy,Single
933,Two small boats on a cloudy beach.,small boat,beach,cloudy,Two
934,Three small boats on a cloudy beach.,small boat,beach,cloudy,Three
935,"

A small boat beached in the murky waters, its hull coated in a thin layer of sand. The sky above was overcast, the clouds heavy with the promise of rain.",small boat,beach,cloudy,Multiple
936,A small boat beached in the rain.,small boat,beach,rainy,Single
937,Two small boats on a rainy beach.,small boat,beach,rainy,Two
938,Three small boats on a rainy beach.,small boat,beach,rainy,Three
939,"

A small boat beached in the rain, umbrellas nearby attempting to shield it from the downpour.",small boat,beach,rainy,Multiple
940,A small boat beached in a stormy weather.,small boat,beach,stormy,Single
941,Two small boats on a stormy beach.,small boat,beach,stormy,Two
942,Three small boats on a stormy beach.,small boat,beach,stormy,Three
943,A small boat beached in a stormy cove.,small boat,beach,stormy,Multiple
944,A small boat beached in a snowstorm.,small boat,beach,snowy,Single
945,Two small boats on a snowy beach.,small boat,beach,snowy,Two
946,Three small boats on a snowy beach.,small boat,beach,snowy,Three
947,"

A small boat beached in a snowy landscape.",small boat,beach,snowy,Multiple
948,A small boat beached in the fog.,small boat,beach,foggy,Single
949,Two small boats on a foggy beach.,small boat,beach,foggy,Two
950,Three small boats on a foggy beach.,small boat,beach,foggy,Three
951,"

A small boat beached in the foggy shore, oars half-submerged in the misty water.",small boat,beach,foggy,Multiple
952,A small boat beached in a windy day.,small boat,beach,windy,Single
953,Two small boats on a windy beach.,small boat,beach,windy,Two
954,Three small boats on a windy beach.,small boat,beach,windy,Three
955,"

A small boat beached in the turbulent waters, battening against the wind and waves.",small boat,beach,windy,Multiple
956,Clear day at the beach. A small boat rests on the sand.,small boat,beach,clear,Single
957,Two small boats on a clear beach.,small boat,beach,clear,Two
958,Three small boats on a clear beach.,small boat,beach,clear,Three
959,"

A small boat beached on a clear shore, gentle waves lapping at its hull.",small boat,beach,clear,Multiple
960,A small boat resting on the rocky coast under a sunny sky.,small boat,rocky coast,sunny,Single
961,Two small boats on a rocky coast under a sunny sky.,small boat,rocky coast,sunny,Two
962,Three small boats on a rocky coast under a sunny sky.,small boat,rocky coast,sunny,Three
963,"

A small boat resting on the rocky coast under a clear, sunny sky.",small boat,rocky coast,sunny,Multiple
964,"

A small boat resting on the rocky coast under cloudy skies.",small boat,rocky coast,cloudy,Single
965,Two small boats in the rocky coast under cloudy weather.,small boat,rocky coast,cloudy,Two
966,Three small boats on a rocky coast under cloudy weather.,small boat,rocky coast,cloudy,Three
967,"

A small boat resting on the rocky coast under cloudy skies.",small boat,rocky coast,cloudy,Multiple
968,A small boat resting on the rocky coast during a rainy day.,small boat,rocky coast,rainy,Single
969,Two small boats in the rocky coast during rainy weather.,small boat,rocky coast,rainy,Two
970,Three small boats on a rocky coast in the rain.,small boat,rocky coast,rainy,Three
971,"

A small boat resting on the rocky coast during a rainy day.",small boat,rocky coast,rainy,Multiple
972,"

A small boat resting on the rocky coast during a stormy weather.",small boat,rocky coast,stormy,Single
973,Two small boats in the rocky coast during a storm.,small boat,rocky coast,stormy,Two
974,Three small boats on a rocky coast during a storm.,small boat,rocky coast,stormy,Three
975,"

A small boat battered against the rocky shore in the stormy weather.",small boat,rocky coast,stormy,Multiple
976,A small boat resting on the rocky coast during a snowstorm.,small boat,rocky coast,snowy,Single
977,Two small boats in the rocky coast under a snowy weather.,small boat,rocky coast,snowy,Two
978,Three small boats on a rocky coast in a snowy weather.,small boat,rocky coast,snowy,Three
979,"

A small boat resting on the rocky coast, surrounded by frosty waves in a snowy weather.",small boat,rocky coast,snowy,Multiple
980,A small boat resting on the rocky coast in foggy weather.,small boat,rocky coast,foggy,Single
981,Two small boats in the rocky coast with foggy weather.,small boat,rocky coast,foggy,Two
982,Three small boats in the rocky coast with foggy weather.,small boat,rocky coast,foggy,Three
983,"

A small boat resting on the rocky coast in the foggy weather.",small boat,rocky coast,foggy,Multiple
984,A small boat resting on the rocky coast during a windy day.,small boat,rocky coast,windy,Single
985,Two small boats in the rocky coast with windy weather.,small boat,rocky coast,windy,Two
986,Three small boats on a rocky coast in windy weather.,small boat,rocky coast,windy,Three
987,"

A small boat resting on the rocky coast during a windy day.",small boat,rocky coast,windy,Multiple
988,A small boat resting on the rocky coast under a clear sky.,small boat,rocky coast,clear,Single
989,Two small boats on a rocky coast under clear skies.,small boat,rocky coast,clear,Two
990,Three small boats on a rocky coast under clear skies.,small boat,rocky coast,clear,Three
991,"

A small boat resting on the rocky coast under a clear sky.",small boat,rocky coast,clear,Multiple
992,A small boat resting on the cliffside coast under a sunny sky.,small boat,cliffside coast,sunny,Single
993,Two small boats nestled in the cliffside coast under a sunny sky.,small boat,cliffside coast,sunny,Two
994,Three small boats nestled in the cliffside coast under a sunny sky.,small boat,cliffside coast,sunny,Three
995,"

A small boat nestled among the rocks on the cliffside coast, bathed in the warm glow of a sunny day.",small boat,cliffside coast,sunny,Multiple
996,"

A small boat nestled in the crevices of a cliffside coast under an overcast sky, with the occasional drizzle adding to the melancholic atmosphere.",small boat,cliffside coast,cloudy,Single
997,Two small boats nestled in the cliffside coast under a cloudy sky.,small boat,cliffside coast,cloudy,Two
998,Three small boats nestled in the cliffside coast under cloudy weather.,small boat,cliffside coast,cloudy,Three
999,"

A small boat nestled among the rocks on the cliffside coast. The sky was overcast with thick, grey clouds.",small boat,cliffside coast,cloudy,Multiple
1000,"

A small boat nestled in the crevices of a cliffside coast, rain pelting its hull as the gray sky released a steady downpour.",small boat,cliffside coast,rainy,Single
1001,Two small boats nestled in the cliffside coast during a rainy day.,small boat,cliffside coast,rainy,Two
1002,Three small boats nestled in the cliffside coast during a rainy day.,small boat,cliffside coast,rainy,Three
1003,"

A small boat nestled among the rocks on the cliffside coast. Rain pelted down, turning the water around the boat choppy and gray.",small boat,cliffside coast,rainy,Multiple
1004,"

A small boat nestled in the cliffside nook, battered by the stormy waves.",small boat,cliffside coast,stormy,Single
1005,Two small boats nestled in the cliffside coast during a stormy weather.,small boat,cliffside coast,stormy,Two
1006,Three small boats nestled in the cliffside coast during a stormy weather.,small boat,cliffside coast,stormy,Three
1007,"

A small boat nestled among the craggy cliffs, battered by the stormy waves.",small boat,cliffside coast,stormy,Multiple
1008,"A small boat nestled in the cliffside coast, snowflakes gently falling around it.",small boat,cliffside coast,snowy,Single
1009,Two small boats nestled in the cliffside coast during a snowy weather.,small boat,cliffside coast,snowy,Two
1010,Three small boats nestled in the cliffside coast during a snowy weather.,small boat,cliffside coast,snowy,Three
1011,"

A small boat nestled in the cliffside nook, surrounded by snow-capped rocks and icy waves crashing against the shore.",small boat,cliffside coast,snowy,Multiple
1012,"

A small boat nestled in the crevices of a cliffside coast, shrouded in foggy weather.",small boat,cliffside coast,foggy,Single
1013,Two small boats nestled in the cliffside coast amidst foggy weather.,small boat,cliffside coast,foggy,Two
1014,"Three small boats nestled in the cliffside coast, shrouded in fog.",small boat,cliffside coast,foggy,Three
1015,"

A small boat nestled among the rocks on the cliffside coast, shrouded in fog.",small boat,cliffside coast,foggy,Multiple
1016,A small boat resting on the cliffside coast during a windy day.,small boat,cliffside coast,windy,Single
1017,Two small boats nestled in the cliffside coast during a windy day.,small boat,cliffside coast,windy,Two
1018,Three small boats nestled in the cliffside coast during a windy day.,small boat,cliffside coast,windy,Three
1019,"

A small boat nestled among the rocks on a windy cliffside coast.",small boat,cliffside coast,windy,Multiple
1020,Clear day. A small boat rests on the cliffside coast.,small boat,cliffside coast,clear,Single
1021,Two small boats nestled in the cliffside coast with clear weather.,small boat,cliffside coast,clear,Two
1022,Three small boats nestled in the cliffside coast with clear weather.,small boat,cliffside coast,clear,Three
1023,"

A small boat nestled among the rocks on the cliffside coast, with clear skies overhead.",small boat,cliffside coast,clear,Multiple
1024,"A small boat in the open sea under a clear, sunny sky.",small boat,open sea,sunny,Single
1025,Two small boats in the open sea under a sunny sky.,small boat,open sea,sunny,Two
1026,Three small boats in the open sea under a sunny sky.,small boat,open sea,sunny,Three
1027,"

A small boat bobbing on the open sea under a clear, sunny sky.",small boat,open sea,sunny,Multiple
1028,"

A small boat in the open sea, surrounded by gray-tinted waves, with the sky above shrouded in thick, rolling clouds.",small boat,open sea,cloudy,Single
